clip_range,ratios_min,ratios_mean,num_epochs,ratios_max,learning_rate,approx_TV,num_agents
0.3,0.7563899159431458,0.9959398508071899,34,1.3299267292022705,0.0001,0.21805346012115479,5
0.3,0.7493544220924377,0.9958041906356812,35,1.3423277139663696,0.0001,0.2254786640405655,5
0.3,0.7423322200775146,0.995667576789856,36,1.3549138307571411,0.0001,0.23297031223773956,5
0.3,0.7353187203407288,0.9955305457115173,37,1.3676899671554565,0.0001,0.24052894115447998,5
0.3,0.7278836369514465,0.9953926205635071,38,1.380642294883728,0.0001,0.24815550446510315,5
0.3,0.7203789353370667,0.9952537417411804,39,1.3937900066375732,0.0001,0.25585103034973145,5
0.3,0.712865948677063,0.9951142072677612,40,1.4071489572525024,0.0001,0.2636183500289917,5
0.3,0.7053453326225281,0.99497389793396,41,1.4207228422164917,0.0001,0.27145713567733765,5
0.3,0.697816789150238,0.9948327541351318,42,1.4345053434371948,0.0001,0.2793673574924469,5
0.3,0.6904683113098145,0.9946911334991455,43,1.4485005140304565,0.0001,0.2873353958129883,5
0.3,0.6832661032676697,0.9945498704910278,44,1.4626572132110596,0.0001,0.2953113913536072,5
0.3,0.6761676669120789,0.99440997838974,45,1.4769037961959839,0.0001,0.3032633066177368,5
0.3,0.6692106127738953,0.9942725300788879,46,1.4911506175994873,0.0001,0.31115126609802246,5
0.3,0.6623802185058594,0.9941376447677612,47,1.505323052406311,0.0001,0.31895434856414795,5
0.3,0.6558259725570679,0.9940059781074524,48,1.5192723274230957,0.0001,0.3265509605407715,5
0.3,0.6496774554252625,0.9938782453536987,49,1.5329455137252808,0.0001,0.33384352922439575,5
0.3,0.6439856886863708,0.9937558174133301,50,1.5462051630020142,0.0001,0.34076833724975586,5
0.3,0.6387035250663757,0.9936399459838867,51,1.5589011907577515,0.0001,0.347306489944458,5
0.3,0.6337957978248596,0.9935300946235657,52,1.5709527730941772,0.0001,0.3535923957824707,5
0.3,0.6292992830276489,0.9934272170066833,53,1.582338571548462,0.0001,0.3594007194042206,5
0.3,0.6252293586730957,0.9933313727378845,54,1.5931049585342407,0.0001,0.3647739291191101,5
0.3,0.6215360164642334,0.9932414889335632,55,1.603312373161316,0.0001,0.3697596490383148,5
0.3,0.6181680560112,0.9931569695472717,56,1.6130149364471436,0.0001,0.37439998984336853,5
0.3,0.6150968670845032,0.9930772185325623,57,1.622135043144226,0.0001,0.37868934869766235,5
0.3,0.6122785806655884,0.9930024743080139,58,1.6306774616241455,0.0001,0.3826295733451843,5
0.3,0.6097561120986938,0.9929341077804565,59,1.6386690139770508,0.0001,0.3861958682537079,5
0.3,0.6075077056884766,0.9928715229034424,60,1.6461081504821777,0.0001,0.3894370198249817,5
0.3,0.6055333614349365,0.992814838886261,61,1.6529713869094849,0.0001,0.39233875274658203,5
0.3,0.6038123369216919,0.9927632212638855,62,1.6593241691589355,0.0001,0.39493411779403687,5
0.3,0.6023174524307251,0.9927160143852234,63,1.665195107460022,0.0001,0.39721429347991943,5
0.3,0.6010169386863708,0.9926725625991821,64,1.6706585884094238,0.0001,0.3992216885089874,5
