clip_range,ratios_mean,num_epochs,learning_rate,approx_TV,ratios_min,num_agents,ratios_max
0.2,0.9943530559539795,59,0.0005,0.49156704545021057,0.5598024129867554,5,1.6308790445327759
0.2,0.9942796230316162,60,0.0005,0.4941421449184418,0.5576615929603577,5,1.6297086477279663
0.2,0.9941604137420654,61,0.0005,0.49803945422172546,0.5560587048530579,5,1.628724455833435
0.2,0.99406498670578,62,0.0005,0.5014849901199341,0.5547018647193909,5,1.6279336214065552
0.2,0.9940173625946045,63,0.0005,0.5033813118934631,0.5527217984199524,5,1.628821849822998
0.2,0.9939936399459839,64,0.0005,0.504990816116333,0.5495657324790955,5,1.6320445537567139
0.2,0.9939627051353455,65,0.0005,0.507127046585083,0.5460472106933594,5,1.6350380182266235
0.2,0.993912398815155,66,0.0005,0.5105245113372803,0.5420832633972168,5,1.6413884162902832
0.2,0.9938493371009827,67,0.0005,0.5145994424819946,0.5383995771408081,5,1.6554542779922485
0.2,0.9937900304794312,68,0.0005,0.5185231566429138,0.5354989767074585,5,1.668624997138977
0.2,0.9937546849250793,69,0.0005,0.5212365388870239,0.5338824987411499,5,1.6758934259414673
0.2,0.993750810623169,70,0.0005,0.5219411849975586,0.5328254103660583,5,1.6795830726623535
0.2,0.9937509894371033,71,0.0005,0.5224697589874268,0.5307391881942749,5,1.6824841499328613
0.2,0.993695080280304,72,0.0005,0.523148775100708,0.5296197533607483,5,1.6861307621002197
0.2,0.9935927391052246,73,0.0005,0.525172233581543,0.5288292169570923,5,1.6888659000396729
0.2,0.9935240745544434,74,0.0005,0.5261903405189514,0.5280347466468811,5,1.6880050897598267
0.2,0.9934643507003784,75,0.0005,0.5266156196594238,0.5281252264976501,5,1.682388186454773
0.2,0.9933946132659912,76,0.0005,0.5276206135749817,0.5279263257980347,5,1.6820745468139648
0.2,0.9933029413223267,77,0.0005,0.5295292735099792,0.5273339748382568,5,1.690593957901001
0.2,0.993236780166626,78,0.0005,0.5314054489135742,0.5263780355453491,5,1.698201298713684
0.2,0.9931995868682861,79,0.0005,0.5334246754646301,0.5250644087791443,5,1.703418493270874
0.2,0.9932096600532532,80,0.0005,0.5344666242599487,0.5246601700782776,5,1.706343650817871
0.2,0.9931726455688477,81,0.0005,0.5363625288009644,0.5251702666282654,5,1.7086260318756104
0.2,0.9931216239929199,82,0.0005,0.5386892557144165,0.5260892510414124,5,1.7129496335983276
0.2,0.9930949211120605,83,0.0005,0.5391777753829956,0.5269160866737366,5,1.7181665897369385
0.2,0.993100643157959,84,0.0005,0.5380529165267944,0.5226806998252869,5,1.723381757736206
0.2,0.9930750131607056,85,0.0005,0.5390014052391052,0.5182608366012573,5,1.7270091772079468
0.2,0.99302738904953,86,0.0005,0.5411918759346008,0.5137330293655396,5,1.7314422130584717
0.2,0.9930073618888855,87,0.0005,0.5430949926376343,0.5085328817367554,5,1.737691879272461
0.2,0.9929421544075012,88,0.0005,0.543387770652771,0.5037969350814819,5,1.7452312707901
0.2,0.9928603172302246,89,0.0005,0.5424259901046753,0.4997919499874115,5,1.7526830434799194
0.2,0.99277663230896,90,0.0005,0.5445302724838257,0.4970892369747162,5,1.7572133541107178
0.2,0.9927036166191101,91,0.0005,0.5496327877044678,0.4945170283317566,5,1.7635517120361328
0.2,0.9926446676254272,92,0.0005,0.5548951029777527,0.4908375144004822,5,1.7698887586593628
0.2,0.9926231503486633,93,0.0005,0.5596312284469604,0.4869007468223572,5,1.7722288370132446
0.2,0.9926411509513855,94,0.0005,0.5624794960021973,0.48274871706962585,5,1.7701894044876099
0.2,0.9926167726516724,95,0.0005,0.5650031566619873,0.4791613519191742,5,1.7640585899353027
0.2,0.9925441145896912,96,0.0005,0.5673483610153198,0.4761815369129181,5,1.7564375400543213
0.2,0.9924944639205933,97,0.0005,0.5719010829925537,0.47495514154434204,5,1.7471694946289062
0.2,0.9924565553665161,98,0.0005,0.5755658745765686,0.4730362892150879,5,1.7433366775512695
0.2,0.9924329519271851,99,0.0005,0.57868492603302,0.4709620773792267,5,1.7420549392700195
