learning_rate,num_epochs,approx_TV,ratios_max,ratios_min,ratios_mean,num_agents,clip_range
0.0002,36,0.39514869451522827,1.621127724647522,0.6013189554214478,0.9982544779777527,5,0.4
0.0002,37,0.40768080949783325,1.6438947916030884,0.5902197957038879,0.9982309937477112,5,0.4
0.0002,38,0.4201161861419678,1.6663175821304321,0.5798230767250061,0.99821537733078,5,0.4
0.0002,39,0.4323499798774719,1.688120722770691,0.5702322125434875,0.998207688331604,5,0.4
0.0002,40,0.4446069598197937,1.7094509601593018,0.5613323450088501,0.998206377029419,5,0.4
0.0002,41,0.4567916989326477,1.7302519083023071,0.5531127452850342,0.9982113838195801,5,0.4
0.0002,42,0.46876630187034607,1.750463604927063,0.5457024574279785,0.9982250928878784,5,0.4
0.0002,43,0.48050063848495483,1.7700059413909912,0.5390552878379822,0.9982463717460632,5,0.4
0.0002,44,0.4919186234474182,1.7887120246887207,0.5333626866340637,0.99827641248703,5,0.4
0.0002,45,0.5030086040496826,1.806677222251892,0.5284481644630432,0.9983089566230774,5,0.4
0.0002,46,0.5136999487876892,1.8239226341247559,0.524337649345398,0.9983424544334412,5,0.4
0.0002,47,0.5239675641059875,1.8404840230941772,0.5209348201751709,0.9983750581741333,5,0.4
0.0002,48,0.5338005423545837,1.8564422130584717,0.5180829167366028,0.9984030723571777,5,0.4
0.0002,49,0.5432243347167969,1.8718587160110474,0.5157187581062317,0.9984264969825745,5,0.4
0.0002,50,0.5521554946899414,1.8867356777191162,0.5136571526527405,0.9984354972839355,5,0.4
0.0002,51,0.560560405254364,1.9010224342346191,0.5118517875671387,0.9984320998191833,5,0.4
0.0002,52,0.5684183239936829,1.914838194847107,0.5102018713951111,0.9984111785888672,5,0.4
0.0002,53,0.575713038444519,1.9282180070877075,0.508660078048706,0.9983735680580139,5,0.4
0.0002,54,0.5825093984603882,1.941043734550476,0.5072336792945862,0.9983210563659668,5,0.4
0.0002,55,0.5887923836708069,1.9533354043960571,0.5058906674385071,0.9982531666755676,5,0.4
0.0002,56,0.5944724082946777,1.964884877204895,0.5049050450325012,0.9981717467308044,5,0.4
0.0002,57,0.5996187925338745,1.9756685495376587,0.5042597651481628,0.9980790019035339,5,0.4
0.0002,58,0.604173481464386,1.9856336116790771,0.5039368271827698,0.9979772567749023,5,0.4
0.0002,59,0.6081631183624268,1.9948731660842896,0.503911018371582,0.9978675842285156,5,0.4
0.0002,60,0.6115702986717224,2.003389835357666,0.5029224753379822,0.9977493286132812,5,0.4
0.0002,61,0.6143723726272583,2.0111281871795654,0.5018939971923828,0.9976244568824768,5,0.4
0.0002,62,0.6165053844451904,2.0179696083068848,0.5011659264564514,0.9974978566169739,5,0.4
0.0002,63,0.6182980537414551,2.0240671634674072,0.5005366206169128,0.9973675012588501,5,0.4
0.0002,64,0.6204988956451416,2.0293617248535156,0.5000145435333252,0.9972351789474487,5,0.4
0.0002,65,0.6227397322654724,2.0332698822021484,0.49960675835609436,0.9971015453338623,5,0.4
0.0002,66,0.6243427991867065,2.035583257675171,0.49620217084884644,0.9969667792320251,5,0.4
0.0002,67,0.6269247531890869,2.0363283157348633,0.49333205819129944,0.996832549571991,5,0.4
0.0002,68,0.6298746466636658,2.035763740539551,0.49151021242141724,0.9966990947723389,5,0.4
0.0002,69,0.6326686143875122,2.033937454223633,0.49092426896095276,0.9965692162513733,5,0.4
0.0002,70,0.635209321975708,2.03094482421875,0.4915868639945984,0.9964460730552673,5,0.4
0.0002,71,0.63756263256073,2.0272467136383057,0.4932750165462494,0.9963245987892151,5,0.4
0.0002,72,0.6398053169250488,2.0231666564941406,0.4955216646194458,0.9962088465690613,5,0.4
0.0002,73,0.6419849991798401,2.019021511077881,0.49824365973472595,0.9960981607437134,5,0.4
0.0002,74,0.6489083766937256,2.015347957611084,0.49826163053512573,0.9959900975227356,5,0.4
0.0002,75,0.6571055054664612,2.0124917030334473,0.49730420112609863,0.995891809463501,5,0.4
0.0002,76,0.6652140617370605,2.0106163024902344,0.4962397813796997,0.9958008527755737,5,0.4
0.0002,77,0.6732373237609863,2.010003089904785,0.49508216977119446,0.995719313621521,5,0.4
0.0002,78,0.6812092065811157,2.0106101036071777,0.49385446310043335,0.9956454038619995,5,0.4
0.0002,79,0.6891206502914429,2.0123298168182373,0.49270379543304443,0.9955805540084839,5,0.4
0.0002,80,0.6968351602554321,2.0147154331207275,0.4921409487724304,0.9955305457115173,5,0.4
0.0002,81,0.7044106721878052,2.0175890922546387,0.4919317960739136,0.9954891800880432,5,0.4
0.0002,82,0.7118797302246094,2.020982503890991,0.49189329147338867,0.9954493641853333,5,0.4
0.0002,83,0.7192185521125793,2.0249199867248535,0.4918924868106842,0.9954089522361755,5,0.4
0.0002,84,0.7262868881225586,2.0291833877563477,0.49209660291671753,0.9953676462173462,5,0.4
0.0002,85,0.7331375479698181,2.0336697101593018,0.4923432767391205,0.995317816734314,5,0.4
0.0002,86,0.7397424578666687,2.0381195545196533,0.4925105571746826,0.9952566623687744,5,0.4
0.0002,87,0.746068000793457,2.0425617694854736,0.4925725758075714,0.9951827526092529,5,0.4
0.0002,88,0.7521748542785645,2.0468454360961914,0.49247896671295166,0.9950938820838928,5,0.4
0.0002,89,0.758047342300415,2.0520179271698,0.492136150598526,0.9949924945831299,5,0.4
0.0002,90,0.7638303637504578,2.0576958656311035,0.49170592427253723,0.9948832392692566,5,0.4
0.0002,91,0.7700380682945251,2.063835620880127,0.491253525018692,0.9947715997695923,5,0.4
0.0002,92,0.7763278484344482,2.0703632831573486,0.49081918597221375,0.9946582317352295,5,0.4
0.0002,93,0.7823842763900757,2.0769896507263184,0.4904874265193939,0.9945492744445801,5,0.4
0.0002,94,0.7880749106407166,2.0837481021881104,0.4902009963989258,0.9944440126419067,5,0.4
0.0002,95,0.7932072877883911,2.0904934406280518,0.4899514317512512,0.9943443536758423,5,0.4
0.0002,96,0.7976809740066528,2.097383737564087,0.48958125710487366,0.9942514896392822,5,0.4
0.0002,97,0.8015172481536865,2.1046650409698486,0.4880724847316742,0.9941652417182922,5,0.4
0.0002,98,0.8048743605613708,2.112063407897949,0.48622366786003113,0.99408358335495,5,0.4
0.0002,99,0.8078559637069702,2.119584321975708,0.4844950735569,0.9940004348754883,5,0.4
