clip_range,ratios_mean,approx_TV,learning_rate,ratios_min,num_epochs,ratios_max,num_agents
0.5,0.9989350438117981,0.8273699283599854,0.0003,0.3385683298110962,48,2.8516125679016113,5
0.5,0.9988729357719421,0.843609094619751,0.0003,0.33074191212654114,49,2.897554874420166,5
0.5,0.9987896084785461,0.8591100573539734,0.0003,0.32360395789146423,50,2.9427120685577393,5
0.5,0.9986873865127563,0.8730965256690979,0.0003,0.317310631275177,51,2.9860408306121826,5
0.5,0.9985758066177368,0.8859694600105286,0.0003,0.31190356612205505,52,3.026813268661499,5
0.5,0.9984560012817383,0.8978421688079834,0.0003,0.30697527527809143,53,3.06535005569458,5
0.5,0.9983294606208801,0.9087277054786682,0.0003,0.3023819029331207,54,3.102552890777588,5
0.5,0.9982059597969055,0.9190880060195923,0.0003,0.29826515913009644,55,3.1370604038238525,5
0.5,0.9980865120887756,0.9287319183349609,0.0003,0.2945624887943268,56,3.1691269874572754,5
0.5,0.9979745745658875,0.9376233816146851,0.0003,0.291154682636261,57,3.198737859725952,5
0.5,0.9978688359260559,0.9463077187538147,0.0003,0.28791362047195435,58,3.2266132831573486,5
0.5,0.997772216796875,0.9547447562217712,0.0003,0.2847692370414734,59,3.253347635269165,5
0.5,0.9976822733879089,0.9621984958648682,0.0003,0.28159835934638977,60,3.2792983055114746,5
0.5,0.9975995421409607,0.9688268899917603,0.0003,0.27842676639556885,61,3.303248405456543,5
0.5,0.9975218772888184,0.974522054195404,0.0003,0.2751520872116089,62,3.325131893157959,5
0.5,0.997439444065094,0.9798821210861206,0.0003,0.27153119444847107,63,3.346738815307617,5
0.5,0.9973496794700623,0.9867798686027527,0.0003,0.2675492465496063,64,3.3680408000946045,5
0.5,0.9972546696662903,0.9926118850708008,0.0003,0.26341164112091064,65,3.3883700370788574,5
0.5,0.9971505403518677,0.9974717497825623,0.0003,0.25890395045280457,66,3.4089977741241455,5
0.5,0.997031033039093,1.0010342597961426,0.0003,0.25383007526397705,67,3.4320950508117676,5
0.5,0.9968996047973633,1.0034570693969727,0.0003,0.24833537638187408,68,3.4563465118408203,5
0.5,0.9967558979988098,1.0054292678833008,0.0003,0.242694690823555,69,3.4814963340759277,5
0.5,0.9966020584106445,1.0071672201156616,0.0003,0.2368372082710266,70,3.50839900970459,5
0.5,0.9964414238929749,1.008933663368225,0.0003,0.23090143501758575,71,3.5367777347564697,5
0.5,0.996280312538147,1.0115635395050049,0.0003,0.2251918464899063,72,3.5634708404541016,5
0.5,0.9961200952529907,1.0193977355957031,0.0003,0.21986643970012665,73,3.5877556800842285,5
0.5,0.9959626197814941,1.0275120735168457,0.0003,0.2148621529340744,74,3.6100614070892334,5
0.5,0.9958116412162781,1.0361275672912598,0.0003,0.2102566957473755,75,3.6287646293640137,5
0.5,0.9956661462783813,1.0455429553985596,0.0003,0.20601026713848114,76,3.6445040702819824,5
0.5,0.9955233335494995,1.0556849241256714,0.0003,0.20203670859336853,77,3.6579136848449707,5
0.5,0.9953866600990295,1.0665165185928345,0.0003,0.19827918708324432,78,3.669248342514038,5
0.5,0.9952487945556641,1.0779374837875366,0.0003,0.1946106255054474,79,3.6794943809509277,5
0.5,0.9951053857803345,1.0897367000579834,0.0003,0.19091637432575226,80,3.689804792404175,5
0.5,0.9949533939361572,1.1017390489578247,0.0003,0.18718256056308746,81,3.6998188495635986,5
0.5,0.9947845339775085,1.1137444972991943,0.0003,0.18337202072143555,82,3.7107858657836914,5
0.5,0.9945923089981079,1.1255213022232056,0.0003,0.17953304946422577,83,3.7225325107574463,5
0.5,0.9943721294403076,1.136855959892273,0.0003,0.1756531000137329,84,3.735412359237671,5
0.5,0.9941204786300659,1.1473639011383057,0.0003,0.1716652363538742,85,3.750314950942993,5
0.5,0.9938459396362305,1.1572041511535645,0.0003,0.1677141785621643,86,3.7658753395080566,5
0.5,0.9935526251792908,1.1661438941955566,0.0003,0.16379806399345398,87,3.7817232608795166,5
0.5,0.9932499527931213,1.1740992069244385,0.0003,0.1600406914949417,88,3.7971744537353516,5
0.5,0.9929406642913818,1.1810081005096436,0.0003,0.15650032460689545,89,3.8112704753875732,5
0.5,0.9926166534423828,1.187003493309021,0.0003,0.15312859416007996,90,3.824693441390991,5
0.5,0.9922831654548645,1.1922039985656738,0.0003,0.14987872540950775,91,3.837714910507202,5
0.5,0.9919499754905701,1.1968276500701904,0.0003,0.14679305255413055,92,3.8490242958068848,5
0.5,0.9916209578514099,1.2011609077453613,0.0003,0.14381736516952515,93,3.858619213104248,5
0.5,0.9913058876991272,1.2051374912261963,0.0003,0.14078348875045776,94,3.8660011291503906,5
0.5,0.9910019636154175,1.2087905406951904,0.0003,0.13751763105392456,95,3.871753454208374,5
0.5,0.9906981587409973,1.2119534015655518,0.0003,0.13440540432929993,96,3.8759448528289795,5
0.5,0.9903924465179443,1.2148840427398682,0.0003,0.13145014643669128,97,3.8815534114837646,5
0.5,0.990081787109375,1.2178155183792114,0.0003,0.12867534160614014,98,3.8907039165496826,5
0.5,0.9897568225860596,1.2210969924926758,0.0003,0.12610206007957458,99,3.903599977493286,5
