clip_range,num_agents,num_epochs,ratios_min,approx_TV,ratios_max,ratios_mean,learning_rate
0.5,5,77,0.3785210847854614,0.8813669681549072,2.2048227787017822,0.9942935705184937,0.0002
0.5,5,78,0.3786472678184509,0.8823012113571167,2.2116098403930664,0.9942341446876526,0.0002
0.5,5,79,0.3785712420940399,0.8842678666114807,2.219447612762451,0.9941620230674744,0.0002
0.5,5,80,0.3783290982246399,0.8866606950759888,2.2280008792877197,0.994081437587738,0.0002
0.5,5,81,0.378038227558136,0.8887509107589722,2.236375570297241,0.9939996600151062,0.0002
0.5,5,82,0.3776373565196991,0.890684187412262,2.2448298931121826,0.9939156174659729,0.0002
0.5,5,83,0.37709689140319824,0.8924405574798584,2.2526590824127197,0.9938316345214844,0.0002
0.5,5,84,0.37634754180908203,0.8942363262176514,2.2603514194488525,0.993744432926178,0.0002
0.5,5,85,0.3753931522369385,0.8960086703300476,2.267810821533203,0.9936547875404358,0.0002
0.5,5,86,0.37420904636383057,0.8979476094245911,2.275075674057007,0.9935628771781921,0.0002
0.5,5,87,0.3726479411125183,0.9005080461502075,2.2826952934265137,0.9934647679328918,0.0002
0.5,5,88,0.3708799481391907,0.9031273722648621,2.290353536605835,0.9933654069900513,0.0002
0.5,5,89,0.369215726852417,0.9055545926094055,2.2979555130004883,0.9932692646980286,0.0002
0.5,5,90,0.36764585971832275,0.9078990817070007,2.305466651916504,0.9931771159172058,0.0002
0.5,5,91,0.36616775393486023,0.9102429151535034,2.3128676414489746,0.9930896162986755,0.0002
0.5,5,92,0.3647843897342682,0.9122159481048584,2.320002317428589,0.9930081367492676,0.0002
0.5,5,93,0.36364269256591797,0.9137040376663208,2.326770305633545,0.9929329752922058,0.0002
0.5,5,94,0.36281993985176086,0.9145588278770447,2.333082914352417,0.9928646087646484,0.0002
0.5,5,95,0.36228835582733154,0.9149885177612305,2.3387441635131836,0.9928026795387268,0.0002
0.5,5,96,0.36182862520217896,0.9155516624450684,2.34441876411438,0.9927411079406738,0.0002
0.5,5,97,0.36149758100509644,0.9161728620529175,2.3500359058380127,0.9926806092262268,0.0002
0.5,5,98,0.36138373613357544,0.9162259697914124,2.3549656867980957,0.9926272034645081,0.0002
0.5,5,99,0.3614450991153717,0.9161258339881897,2.3595893383026123,0.9925737977027893,0.0002
