clip_range,ratios_mean,ratios_min,approx_TV,num_agents,num_epochs,ratios_max,learning_rate
0.2,0.9981998801231384,0.7341524362564087,0.25446799397468567,5,42,1.2497749328613281,0.0001
0.2,0.9981976747512817,0.7354742288589478,0.2580358386039734,5,43,1.2545667886734009,0.0001
0.2,0.9981954097747803,0.7367801666259766,0.26149314641952515,5,44,1.2592915296554565,0.0001
0.2,0.9981929659843445,0.7380994558334351,0.2648477256298065,5,45,1.2639321088790894,0.0001
0.2,0.9981901049613953,0.7393732666969299,0.268128901720047,5,46,1.2684980630874634,0.0001
0.2,0.9981870651245117,0.7405475378036499,0.2713548541069031,5,47,1.2730088233947754,0.0001
0.2,0.998182475566864,0.7415571212768555,0.2745617628097534,5,48,1.2774901390075684,0.0001
0.2,0.9981728196144104,0.7419355511665344,0.27806228399276733,5,49,1.2821166515350342,0.0001
0.2,0.998158872127533,0.7417306900024414,0.2817932963371277,5,50,1.2868539094924927,0.0001
0.2,0.9981421232223511,0.7409594655036926,0.28567934036254883,5,51,1.2916330099105835,0.0001
0.2,0.9981222748756409,0.7396708726882935,0.2897324562072754,5,52,1.2964463233947754,0.0001
0.2,0.9980995655059814,0.7379082441329956,0.29394739866256714,5,53,1.301317572593689,0.0001
0.2,0.9980743527412415,0.735759437084198,0.29829639196395874,5,54,1.306269645690918,0.0001
0.2,0.9980469942092896,0.7333158254623413,0.30275237560272217,5,55,1.3112872838974,0.0001
0.2,0.9980212450027466,0.7311472296714783,0.3070204257965088,5,56,1.316241979598999,0.0001
0.2,0.997998058795929,0.7292569279670715,0.31104254722595215,5,57,1.3210928440093994,0.0001
0.2,0.9979773163795471,0.7276351451873779,0.3147715926170349,5,58,1.3257582187652588,0.0001
0.2,0.9979594349861145,0.7263395190238953,0.31819549202919006,5,59,1.3302503824234009,0.0001
0.2,0.9979466199874878,0.7253259420394897,0.32120218873023987,5,60,1.3344380855560303,0.0001
0.2,0.9979390501976013,0.7245839238166809,0.323746919631958,5,61,1.3383530378341675,0.0001
0.2,0.9979366064071655,0.7240965962409973,0.32587599754333496,5,62,1.3420931100845337,0.0001
0.2,0.9979384541511536,0.7238375544548035,0.3275994062423706,5,63,1.3456594944000244,0.0001
0.2,0.9979443550109863,0.723783016204834,0.3289415240287781,5,64,1.3489296436309814,0.0001
0.2,0.9979538321495056,0.7239125967025757,0.3299277722835541,5,65,1.3519072532653809,0.0001
0.2,0.9979662299156189,0.7242229580879211,0.33056366443634033,5,66,1.3545809984207153,0.0001
0.2,0.9979803562164307,0.72464919090271,0.33092594146728516,5,67,1.3568612337112427,0.0001
0.2,0.9979953169822693,0.7237740159034729,0.33106762170791626,5,68,1.3588664531707764,0.0001
0.2,0.9980102777481079,0.7212048172950745,0.33108827471733093,5,69,1.360618233680725,0.0001
0.2,0.9980214834213257,0.7188739776611328,0.3312339782714844,5,70,1.3622876405715942,0.0001
0.2,0.998028576374054,0.716754138469696,0.33150458335876465,5,71,1.3638803958892822,0.0001
0.2,0.9980306029319763,0.7148434519767761,0.3319484293460846,5,72,1.3654543161392212,0.0001
0.2,0.9980279803276062,0.7131564617156982,0.33252987265586853,5,73,1.367079734802246,0.0001
0.2,0.998020350933075,0.7116959095001221,0.3331765830516815,5,74,1.3687130212783813,0.0001
0.2,0.9980106949806213,0.7104241251945496,0.333840936422348,5,75,1.370413899421692,0.0001
0.2,0.9980000853538513,0.709353506565094,0.33445829153060913,5,76,1.371991515159607,0.0001
0.2,0.9979884028434753,0.7083948850631714,0.33500686287879944,5,77,1.3734712600708008,0.0001
0.2,0.9979766011238098,0.7075365781784058,0.33544498682022095,5,78,1.3748446702957153,0.0001
0.2,0.9979649186134338,0.7067442536354065,0.33577677607536316,5,79,1.3761191368103027,0.0001
0.2,0.9979545474052429,0.7060336470603943,0.33583831787109375,5,80,1.3771135807037354,0.0001
0.2,0.9979454874992371,0.7053971886634827,0.335875004529953,5,81,1.3778687715530396,0.0001
0.2,0.9979331493377686,0.7047869563102722,0.3359902501106262,5,82,1.3785743713378906,0.0001
0.2,0.9979164600372314,0.7042140364646912,0.3364329934120178,5,83,1.3794604539871216,0.0001
0.2,0.9978957176208496,0.7036393284797668,0.3372165858745575,5,84,1.3807543516159058,0.0001
0.2,0.9978753924369812,0.7030820846557617,0.3380380868911743,5,85,1.382321834564209,0.0001
0.2,0.9978552460670471,0.7025552988052368,0.33889198303222656,5,86,1.3841818571090698,0.0001
0.2,0.9978378415107727,0.7020861506462097,0.33953940868377686,5,87,1.38589346408844,0.0001
0.2,0.9978235960006714,0.7016461491584778,0.3399951457977295,5,88,1.3874528408050537,0.0001
0.2,0.997811496257782,0.7012528777122498,0.3402898609638214,5,89,1.3888907432556152,0.0001
0.2,0.9978005290031433,0.7009249925613403,0.340595543384552,5,90,1.3902355432510376,0.0001
0.2,0.997789204120636,0.7006520628929138,0.3410370945930481,5,91,1.391621470451355,0.0001
0.2,0.9977785348892212,0.7003931403160095,0.34156614542007446,5,92,1.3930389881134033,0.0001
0.2,0.997768759727478,0.7001530528068542,0.3421223759651184,5,93,1.3944374322891235,0.0001
0.2,0.9977561831474304,0.6998993754386902,0.34295111894607544,5,94,1.395876407623291,0.0001
0.2,0.997743546962738,0.6996083855628967,0.34374552965164185,5,95,1.3971222639083862,0.0001
0.2,0.9977288842201233,0.6993042230606079,0.34464937448501587,5,96,1.3983936309814453,0.0001
0.2,0.9977177381515503,0.6989681720733643,0.34529775381088257,5,97,1.3995404243469238,0.0001
0.2,0.9977089762687683,0.6985663771629333,0.345714807510376,5,98,1.4005417823791504,0.0001
0.2,0.9977028369903564,0.6981070041656494,0.34588491916656494,5,99,1.4014286994934082,0.0001
