clip_range,num_epochs,ratios_min,approx_TV,learning_rate,ratios_max,num_agents,ratios_mean
0.2,26,0.6536607146263123,0.38586992025375366,0.0003,1.5842562913894653,5,0.9934872984886169
0.2,27,0.651203453540802,0.4016847610473633,0.0003,1.5926833152770996,5,0.9932823181152344
0.2,28,0.6502298712730408,0.41734200716018677,0.0003,1.5999242067337036,5,0.9930776953697205
0.2,29,0.6505983471870422,0.43287986516952515,0.0003,1.606324553489685,5,0.9928690195083618
0.2,30,0.6520324945449829,0.4474690556526184,0.0003,1.6117022037506104,5,0.9926669001579285
0.2,31,0.6540229916572571,0.46089136600494385,0.0003,1.616003394126892,5,0.9924722909927368
0.2,32,0.6564852595329285,0.4730355143547058,0.0003,1.6191282272338867,5,0.9922899603843689
0.2,33,0.6592381596565247,0.483642578125,0.0003,1.6209443807601929,5,0.9921255707740784
0.2,34,0.6619831323623657,0.4926808178424835,0.0003,1.6215609312057495,5,0.9919788241386414
0.2,35,0.6644582748413086,0.5003920793533325,0.0003,1.620631456375122,5,0.9918502569198608
0.2,36,0.666430652141571,0.5073784589767456,0.0003,1.6185810565948486,5,0.991736114025116
0.2,37,0.6680607795715332,0.5135698318481445,0.0003,1.6151416301727295,5,0.9916330575942993
0.2,38,0.6693073511123657,0.5190752148628235,0.0003,1.6106480360031128,5,0.9915376901626587
0.2,39,0.6702017784118652,0.524397611618042,0.0003,1.6057313680648804,5,0.9914438724517822
0.2,40,0.6710734367370605,0.5299676656723022,0.0003,1.6007603406906128,5,0.9913478493690491
0.2,41,0.6720813512802124,0.538350522518158,0.0003,1.5957313776016235,5,0.9912457466125488
0.2,42,0.67314612865448,0.547964334487915,0.0003,1.5908820629119873,5,0.9911284446716309
0.2,43,0.6744687557220459,0.558220624923706,0.0003,1.5861766338348389,5,0.990993320941925
0.2,44,0.6762388944625854,0.5692257285118103,0.0003,1.581717848777771,5,0.9908450841903687
0.2,45,0.6782434582710266,0.5806006193161011,0.0003,1.5775493383407593,5,0.9906883239746094
0.2,46,0.68061363697052,0.5923463106155396,0.0003,1.573546290397644,5,0.9905246496200562
0.2,47,0.6831720471382141,0.6042048335075378,0.0003,1.569392204284668,5,0.9903579354286194
0.2,48,0.6819324493408203,0.6160495281219482,0.0003,1.5648422241210938,5,0.9901919960975647
0.2,49,0.6795236468315125,0.6279065608978271,0.0003,1.576834797859192,5,0.990024745464325
0.2,50,0.677106499671936,0.6395807266235352,0.0003,1.5924957990646362,5,0.9898689389228821
0.2,51,0.6746206879615784,0.6510779857635498,0.0003,1.6075204610824585,5,0.9897244572639465
0.2,52,0.6721878051757812,0.6623626947402954,0.0003,1.6217951774597168,5,0.9895903468132019
0.2,53,0.6701071262359619,0.6733465194702148,0.0003,1.6348743438720703,5,0.9894668459892273
0.2,54,0.6686057448387146,0.6840512156486511,0.0003,1.6469839811325073,5,0.9893441200256348
0.2,55,0.6678290963172913,0.6944498419761658,0.0003,1.658134937286377,5,0.9892204999923706
0.2,56,0.6647456288337708,0.7046354413032532,0.0003,1.667899489402771,5,0.9890859723091125
0.2,57,0.6618202328681946,0.7143841981887817,0.0003,1.676233172416687,5,0.9889398217201233
0.2,58,0.6591881513595581,0.7236231565475464,0.0003,1.683009386062622,5,0.988785445690155
0.2,59,0.6567465662956238,0.7323687076568604,0.0003,1.6881065368652344,5,0.9886249899864197
0.2,60,0.6542968153953552,0.7404952049255371,0.0003,1.691641926765442,5,0.9884570240974426
0.2,61,0.6518660187721252,0.7480125427246094,0.0003,1.693655252456665,5,0.9882954955101013
0.2,62,0.6494385600090027,0.754959225654602,0.0003,1.6938207149505615,5,0.9881447553634644
0.2,63,0.6468871235847473,0.7613489627838135,0.0003,1.6925344467163086,5,0.9880023002624512
0.2,64,0.6442393064498901,0.7671926617622375,0.0003,1.6899832487106323,5,0.9878697991371155
