clip_range,num_agents,ratios_max,ratios_min,num_epochs,approx_TV,ratios_mean,learning_rate
0.4,5,1.9435410499572754,0.5166879892349243,20,0.4758523404598236,0.9992057085037231,0.0005
0.4,5,2.0086214542388916,0.5036259889602661,21,0.5065335631370544,0.9991922378540039,0.0005
0.4,5,2.0729379653930664,0.49292126297950745,22,0.5377144813537598,0.9991891980171204,0.0005
0.4,5,2.134756088256836,0.4847584068775177,23,0.5693402290344238,0.999200165271759,0.0005
0.4,5,2.193265676498413,0.477647602558136,24,0.601267397403717,0.9992241859436035,0.0005
0.4,5,2.248009204864502,0.47018831968307495,25,0.6330140829086304,0.9992595314979553,0.0005
0.4,5,2.298967123031616,0.45932936668395996,26,0.6639121770858765,0.9992995262145996,0.0005
0.4,5,2.3464550971984863,0.44740790128707886,27,0.6921764612197876,0.9993245005607605,0.0005
0.4,5,2.3920960426330566,0.43693065643310547,28,0.7169526815414429,0.999322235584259,0.0005
0.4,5,2.437373161315918,0.4274213910102844,29,0.7384812831878662,0.999281108379364,0.0005
0.4,5,2.4813106060028076,0.41917261481285095,30,0.7578107118606567,0.9992083311080933,0.0005
0.4,5,2.524484634399414,0.4120756685733795,31,0.7748852968215942,0.9991112947463989,0.0005
0.4,5,2.5666255950927734,0.4061655104160309,32,0.7892583608627319,0.9990023374557495,0.0005
0.4,5,2.607842445373535,0.4006351828575134,33,0.8002294301986694,0.998887300491333,0.0005
0.4,5,2.64884614944458,0.39546069502830505,34,0.8077768087387085,0.9987653493881226,0.0005
0.4,5,2.6900603771209717,0.39047592878341675,35,0.815798819065094,0.9986370205879211,0.0005
0.4,5,2.73281192779541,0.3852115571498871,36,0.8216139078140259,0.9985045790672302,0.0005
0.4,5,2.7730154991149902,0.3797973394393921,37,0.8262026309967041,0.9983864426612854,0.0005
0.4,5,2.8075640201568604,0.3729650676250458,38,0.8303989171981812,0.9982832670211792,0.0005
0.4,5,2.836815595626831,0.3637353479862213,39,0.8344298601150513,0.9981967806816101,0.0005
0.4,5,2.860969066619873,0.35478833317756653,40,0.8451529145240784,0.9981245398521423,0.0005
0.4,5,2.8824613094329834,0.34610429406166077,41,0.8573804497718811,0.9980562925338745,0.0005
0.4,5,2.903938055038452,0.33769896626472473,42,0.8693398237228394,0.9979844689369202,0.0005
0.4,5,2.9261250495910645,0.3295043110847473,43,0.8813877105712891,0.9979040026664734,0.0005
0.4,5,2.9514048099517822,0.3214073181152344,44,0.8933779001235962,0.9978018403053284,0.0005
0.4,5,2.9812185764312744,0.31342166662216187,45,0.9050285816192627,0.9976577162742615,0.0005
0.4,5,3.0131773948669434,0.3054412007331848,46,0.9160581827163696,0.9974687099456787,0.0005
0.4,5,3.0445520877838135,0.29731321334838867,47,0.9262388944625854,0.9972355961799622,0.0005
0.4,5,3.075056791305542,0.28906551003456116,48,0.935793399810791,0.9969676733016968,0.0005
0.4,5,3.100595235824585,0.2808184325695038,49,0.944751501083374,0.996675968170166,0.0005
0.4,5,3.1219327449798584,0.2726673185825348,50,0.9530637264251709,0.9963618516921997,0.0005
0.4,5,3.1391994953155518,0.2646642327308655,51,0.9607193470001221,0.9960340857505798,0.0005
0.4,5,3.152672052383423,0.2571229934692383,52,0.9678128957748413,0.9957116842269897,0.0005
0.4,5,3.1586904525756836,0.2498737871646881,53,0.9743385314941406,0.9954081177711487,0.0005
0.4,5,3.1592307090759277,0.24294541776180267,54,0.9807384014129639,0.9951188564300537,0.0005
0.4,5,3.1562416553497314,0.23645450174808502,55,0.9863560199737549,0.9948413372039795,0.0005
