num_epochs,ratios_min,ratios_mean,learning_rate,approx_TV,clip_range,num_agents,ratios_max
42,0.7536973357200623,0.9987618923187256,0.0001,0.22500844299793243,0.4,5,1.3137950897216797
43,0.748031497001648,0.9987409710884094,0.0001,0.23079624772071838,0.4,5,1.3241928815841675
44,0.7423690557479858,0.9987204670906067,0.0001,0.23673886060714722,0.4,5,1.334782361984253
45,0.7367174625396729,0.9987006783485413,0.0001,0.2427433580160141,0.4,5,1.3455637693405151
46,0.7310718894004822,0.9986816644668579,0.0001,0.2487838715314865,0.4,5,1.3565821647644043
47,0.7253759503364563,0.998663604259491,0.0001,0.254873126745224,0.4,5,1.3678408861160278
48,0.7196749448776245,0.9986461400985718,0.0001,0.2610129714012146,0.4,5,1.3793238401412964
49,0.7139707207679749,0.9986290335655212,0.0001,0.26719531416893005,0.4,5,1.3910572528839111
50,0.7082625031471252,0.9986125230789185,0.0001,0.2734260559082031,0.4,5,1.4030444622039795
51,0.70255446434021,0.9985966086387634,0.0001,0.2797657251358032,0.4,5,1.4152655601501465
52,0.6968363523483276,0.9985809922218323,0.0001,0.28629493713378906,0.4,5,1.4277304410934448
53,0.6911084651947021,0.9985658526420593,0.0001,0.2930281162261963,0.4,5,1.4404408931732178
54,0.6853649020195007,0.9985511898994446,0.0001,0.29983896017074585,0.4,5,1.4534122943878174
55,0.6796209812164307,0.9985365867614746,0.0001,0.3067163825035095,0.4,5,1.4666435718536377
56,0.6738743185997009,0.998522162437439,0.0001,0.3136636018753052,0.4,5,1.480141043663025
57,0.6681303977966309,0.9985079169273376,0.0001,0.3205803632736206,0.4,5,1.4935673475265503
58,0.6623912453651428,0.9984938502311707,0.0001,0.3274502158164978,0.4,5,1.5068913698196411
59,0.656654953956604,0.9984795451164246,0.0001,0.33429011702537537,0.4,5,1.52015221118927
60,0.6509388089179993,0.9984657168388367,0.0001,0.34107622504234314,0.4,5,1.5331827402114868
61,0.6452325582504272,0.9984521865844727,0.0001,0.34781911969184875,0.4,5,1.546028733253479
62,0.6395292282104492,0.9984388947486877,0.0001,0.3544742465019226,0.4,5,1.5584596395492554
63,0.6338456273078918,0.998426079750061,0.0001,0.36105605959892273,0.4,5,1.5705327987670898
64,0.6281796097755432,0.9984135031700134,0.0001,0.3675755262374878,0.4,5,1.582309603691101
65,0.6225271224975586,0.9984011054039001,0.0001,0.3740430772304535,0.4,5,1.5938334465026855
66,0.6168281435966492,0.9983892440795898,0.0001,0.3804709017276764,0.4,5,1.6051406860351562
67,0.6108235716819763,0.9983776807785034,0.0001,0.38687190413475037,0.4,5,1.6162693500518799
68,0.6048294305801392,0.9983672499656677,0.0001,0.39326006174087524,0.4,5,1.6272568702697754
69,0.5988559126853943,0.9983572363853455,0.0001,0.3996265232563019,0.4,5,1.6381281614303589
70,0.5931472182273865,0.9983499646186829,0.0001,0.40598583221435547,0.4,5,1.6488313674926758
71,0.5876636505126953,0.9983449578285217,0.0001,0.41244301199913025,0.4,5,1.6594043970108032
72,0.582511842250824,0.9983422756195068,0.0001,0.41884467005729675,0.4,5,1.6697734594345093
73,0.5776505470275879,0.9983418583869934,0.0001,0.4251856207847595,0.4,5,1.6799191236495972
74,0.5730428099632263,0.9983436465263367,0.0001,0.4314787685871124,0.4,5,1.689847707748413
75,0.5687355399131775,0.9983486533164978,0.0001,0.4377087950706482,0.4,5,1.6995991468429565
76,0.5646859407424927,0.998356282711029,0.0001,0.44388675689697266,0.4,5,1.7091715335845947
77,0.5608804225921631,0.9983665347099304,0.0001,0.4500312805175781,0.4,5,1.7185910940170288
78,0.5572677254676819,0.9983775615692139,0.0001,0.4561208486557007,0.4,5,1.7278982400894165
