clip_range,approx_TV,ratios_min,num_agents,num_epochs,ratios_max,ratios_mean,learning_rate
0.3,0.5533422827720642,0.5142390727996826,5,37,2.2896265983581543,0.9819875359535217,0.0005
0.3,0.5638853311538696,0.5027414560317993,5,38,2.319953680038452,0.9816522598266602,0.0005
0.3,0.5740005970001221,0.4915080964565277,5,39,2.3474936485290527,0.9813400506973267,0.0005
0.3,0.5846093893051147,0.48067760467529297,5,40,2.373436450958252,0.9810409545898438,0.0005
0.3,0.5937674045562744,0.4706858694553375,5,41,2.396613836288452,0.9807521104812622,0.0005
0.3,0.602138340473175,0.4618484675884247,5,42,2.4167234897613525,0.980461061000824,0.0005
0.3,0.609372079372406,0.4541187584400177,5,43,2.4367403984069824,0.9801325798034668,0.0005
0.3,0.6145882606506348,0.4472469687461853,5,44,2.4599480628967285,0.979749321937561,0.0005
0.3,0.6176259517669678,0.44140708446502686,5,45,2.4905495643615723,0.9792845845222473,0.0005
0.3,0.6203299760818481,0.43675217032432556,5,46,2.527599811553955,0.9787559509277344,0.0005
0.3,0.6214645504951477,0.4330742359161377,5,47,2.569937229156494,0.97818922996521,0.0005
0.3,0.6334510445594788,0.4299691319465637,5,48,2.6131415367126465,0.9776198267936707,0.0005
0.3,0.6505360007286072,0.42465314269065857,5,49,2.656919479370117,0.9770557880401611,0.0005
0.3,0.6676523089408875,0.41948845982551575,5,50,2.7022690773010254,0.9764968752861023,0.0005
0.3,0.6845337152481079,0.41450345516204834,5,51,2.748910665512085,0.9759471416473389,0.0005
0.3,0.701102614402771,0.409444659948349,5,52,2.7951602935791016,0.9754045605659485,0.0005
0.3,0.7171873450279236,0.4043049216270447,5,53,2.8399155139923096,0.9748777151107788,0.0005
0.3,0.7323830723762512,0.39906802773475647,5,54,2.8800928592681885,0.9743740558624268,0.0005
0.3,0.7467869520187378,0.39358019828796387,5,55,2.9131503105163574,0.9739096760749817,0.0005
0.3,0.7608953714370728,0.3877624571323395,5,56,2.941563606262207,0.973477303981781,0.0005
0.3,0.7752264142036438,0.38181421160697937,5,57,2.965851306915283,0.9730595946311951,0.0005
0.3,0.7893860340118408,0.37566888332366943,5,58,2.9872889518737793,0.9726748466491699,0.0005
0.3,0.8050643801689148,0.3697281777858734,5,59,3.005140781402588,0.9723342657089233,0.0005
0.3,0.8211423754692078,0.36409512162208557,5,60,3.02179217338562,0.9720134735107422,0.0005
0.3,0.836846113204956,0.35867854952812195,5,61,3.037628412246704,0.9717137813568115,0.0005
0.3,0.8531707525253296,0.35314998030662537,5,62,3.054678201675415,0.9713860154151917,0.0005
0.3,0.8701324462890625,0.3475956320762634,5,63,3.0751993656158447,0.9710103273391724,0.0005
0.3,0.8870833516120911,0.34227022528648376,5,64,3.0983734130859375,0.9705964922904968,0.0005
0.3,0.90388023853302,0.3369183838367462,5,65,3.121291160583496,0.9701629877090454,0.0005
