learning_rate,ratios_min,ratios_max,num_epochs,ratios_mean,clip_range,num_agents,approx_TV
0.0004,0.5625042915344238,1.7474572658538818,29,0.9965161085128784,0.3,5,0.5921018123626709
0.0004,0.560340404510498,1.773880958557129,30,0.996412992477417,0.3,5,0.5892248153686523
0.0004,0.5587515234947205,1.798542857170105,31,0.9963439702987671,0.3,5,0.5887774229049683
0.0004,0.5582414269447327,1.8212084770202637,32,0.996295690536499,0.3,5,0.5902057886123657
0.0004,0.5551104545593262,1.842263102531433,33,0.9962537288665771,0.3,5,0.5934045314788818
0.0004,0.5531488060951233,1.8626331090927124,34,0.9962021112442017,0.3,5,0.5971972942352295
0.0004,0.5530091524124146,1.8829379081726074,35,0.9961374402046204,0.3,5,0.6011728048324585
0.0004,0.5548179149627686,1.9034026861190796,36,0.9960556030273438,0.3,5,0.605503261089325
0.0004,0.558276891708374,1.924015998840332,37,0.9959537982940674,0.3,5,0.6101474165916443
0.0004,0.5630596876144409,1.9452261924743652,38,0.9958330392837524,0.3,5,0.6148719191551208
0.0004,0.569017231464386,1.9665114879608154,39,0.9956986904144287,0.3,5,0.6199413537979126
0.0004,0.575470507144928,1.9883328676223755,40,0.9955494403839111,0.3,5,0.6249238848686218
0.0004,0.5806794166564941,2.010603666305542,41,0.9953933954238892,0.3,5,0.6301429271697998
0.0004,0.5826873779296875,2.0332469940185547,42,0.9952290058135986,0.3,5,0.6348080635070801
0.0004,0.5808258652687073,2.0563886165618896,43,0.9950596690177917,0.3,5,0.6389775276184082
0.0004,0.5781906843185425,2.080503463745117,44,0.9948878884315491,0.3,5,0.6419192552566528
0.0004,0.5736855864524841,2.105923652648926,45,0.9947091341018677,0.3,5,0.6429962515830994
0.0004,0.5689147114753723,2.134056329727173,46,0.9945217967033386,0.3,5,0.6420093774795532
0.0004,0.5648992657661438,2.164466619491577,47,0.9943263530731201,0.3,5,0.6387534737586975
0.0004,0.5615522861480713,2.1968960762023926,48,0.9941138029098511,0.3,5,0.63321852684021
0.0004,0.5587216019630432,2.2310478687286377,49,0.9938827753067017,0.3,5,0.6257689595222473
0.0004,0.5562597513198853,2.266655921936035,50,0.9936338067054749,0.3,5,0.6175388097763062
0.0004,0.5539563298225403,2.3029091358184814,51,0.993372917175293,0.3,5,0.6099121570587158
0.0004,0.5514702796936035,2.3387696743011475,52,0.9931110739707947,0.3,5,0.6042910814285278
0.0004,0.548857569694519,2.3743650913238525,53,0.9928508400917053,0.3,5,0.6002813577651978
0.0004,0.5458810925483704,2.409332036972046,54,0.9925888180732727,0.3,5,0.59825599193573
0.0004,0.5423858761787415,2.442403554916382,55,0.9923334717750549,0.3,5,0.5993567705154419
0.0004,0.5383099913597107,2.473593235015869,56,0.9920856952667236,0.3,5,0.6028428077697754
0.0004,0.5337246656417847,2.502596855163574,57,0.9918460249900818,0.3,5,0.6109240055084229
0.0004,0.5286036729812622,2.529390811920166,58,0.9916092157363892,0.3,5,0.620323121547699
