clip_range,num_epochs,approx_TV,num_agents,ratios_min,ratios_max,learning_rate,ratios_mean
0.2,72,0.4387689232826233,5,0.6036521792411804,1.6384872198104858,0.0003,0.9964181184768677
0.2,73,0.4374096989631653,5,0.6009723544120789,1.644331455230713,0.0003,0.9963644742965698
0.2,74,0.4350627064704895,5,0.5982503890991211,1.6503562927246094,0.0003,0.9963099360466003
0.2,75,0.43215110898017883,5,0.5953688025474548,1.6566129922866821,0.0003,0.9962477684020996
0.2,76,0.43006986379623413,5,0.5931752324104309,1.6625359058380127,0.0003,0.9961904287338257
0.2,77,0.43007606267929077,5,0.5920464992523193,1.6675266027450562,0.0003,0.9961506724357605
0.2,78,0.43118971586227417,5,0.5914158821105957,1.6720023155212402,0.0003,0.9961200952529907
0.2,79,0.4324817359447479,5,0.589493989944458,1.676682472229004,0.0003,0.9960722923278809
0.2,80,0.43399807810783386,5,0.5879349112510681,1.6800978183746338,0.0003,0.9960277080535889
0.2,81,0.43526777625083923,5,0.5864294767379761,1.6829123497009277,0.0003,0.9959834814071655
0.2,82,0.4362986981868744,5,0.5846063494682312,1.6864529848098755,0.0003,0.9959344863891602
0.2,83,0.43736663460731506,5,0.5827721357345581,1.6905813217163086,0.0003,0.9958810210227966
0.2,84,0.4407907724380493,5,0.5809276700019836,1.6948317289352417,0.0003,0.9958263635635376
0.2,85,0.4449204206466675,5,0.5796001553535461,1.6986600160598755,0.0003,0.9957757592201233
0.2,86,0.4487002193927765,5,0.5789884328842163,1.7019448280334473,0.0003,0.9957297444343567
0.2,87,0.45255523920059204,5,0.5791584253311157,1.7042043209075928,0.0003,0.9956794381141663
0.2,88,0.45628491044044495,5,0.5796096920967102,1.7059650421142578,0.0003,0.9956289529800415
0.2,89,0.45981019735336304,5,0.5789573788642883,1.709014892578125,0.0003,0.9955556988716125
0.2,90,0.46263283491134644,5,0.5783852934837341,1.711640477180481,0.0003,0.9954950213432312
0.2,91,0.4646286070346832,5,0.5784570574760437,1.7134371995925903,0.0003,0.9954454302787781
0.2,92,0.46589386463165283,5,0.5785636901855469,1.7146265506744385,0.0003,0.995402455329895
0.2,93,0.4668188691139221,5,0.5784385204315186,1.716653823852539,0.0003,0.9953524470329285
0.2,94,0.46766895055770874,5,0.5776282548904419,1.719226360321045,0.0003,0.9952930212020874
0.2,95,0.4684036672115326,5,0.5760265588760376,1.7220542430877686,0.0003,0.9952266216278076
0.2,96,0.4685923755168915,5,0.5752982497215271,1.7235325574874878,0.0003,0.9951785802841187
0.2,97,0.46815845370292664,5,0.5750179886817932,1.7246124744415283,0.0003,0.9951469302177429
0.2,98,0.4681234359741211,5,0.575339138507843,1.724981427192688,0.0003,0.9951120018959045
0.2,99,0.46827536821365356,5,0.5751233100891113,1.7257583141326904,0.0003,0.9950618743896484
